Bait	Prey	#Rep	AvgP	BFDR
MEPCE	gi|32307144|gn|PLOD1:5351| procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 precursor [Homo sapiens]	3	0.0005	0.6238
EIF4A2	gi|32307150|gn|OGT:8473| UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit isoform 2 [Homo sapiens]	3	0.0019	0.5887
MEPCE	gi|32307150|gn|OGT:8473| UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit isoform 2 [Homo sapiens]	3	0.0027	0.5758
EIF4A2	gi|324711015|gn|PRPS1:5631| ribose-phosphate pyrophosphokinase 1 isoform 2 [Homo sapiens]	3	0.0024	0.5807
MEPCE	gi|324711015|gn|PRPS1:5631| ribose-phosphate pyrophosphokinase 1 isoform 2 [Homo sapiens]	3	0.0217	0.4803
EIF4A2	gi|32490572|gn|EPB41L3:23136| band 4	3	0.0001	0.6563
MEPCE	gi|32490572|gn|EPB41L3:23136| band 4	3	0.0000	0.6820
EIF4A2	gi|325053652|gn|PSMC2:5701| 26S protease regulatory subunit 7 isoform 2 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|325053652|gn|PSMC2:5701| 26S protease regulatory subunit 7 isoform 2 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|325120984|gn|RBM10:8241| RNA-binding protein 10 isoform 4 [Homo sapiens]	3	0.0001	0.6563
MEPCE	gi|325120984|gn|RBM10:8241| RNA-binding protein 10 isoform 4 [Homo sapiens]	3	0.6813	0.0409
EIF4A2	gi|325120986|gn|RBM10:8241| RNA-binding protein 10 isoform 5 [Homo sapiens]	3	0.1130	0.3644
MEPCE	gi|325120986|gn|RBM10:8241| RNA-binding protein 10 isoform 5 [Homo sapiens]	3	0.5109	0.1250
EIF4A2	gi|325197164|gn|EIF4A1:1973| eukaryotic initiation factor 4A-I isoform 2 [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|325197164|gn|EIF4A1:1973| eukaryotic initiation factor 4A-I isoform 2 [Homo sapiens]	3	0.0062	0.5391
EIF4A2	gi|325652043|gn|TCEB1:6921| transcription elongation factor B polypeptide 1 isoform a [Homo sapiens]	3	0.0057	0.5452
MEPCE	gi|325652043|gn|TCEB1:6921| transcription elongation factor B polypeptide 1 isoform a [Homo sapiens]	3	0.2141	0.2916
EIF4A2	gi|32698730|gn|NUFIP2:57532| nuclear fragile X mental retardation-interacting protein 2 [Homo sapiens]	3	0.8975	0.0053
MEPCE	gi|32698730|gn|NUFIP2:57532| nuclear fragile X mental retardation-interacting protein 2 [Homo sapiens]	3	0.0272	0.4676
EIF4A2	gi|32698866|gn|SPC24:147841| kinetochore protein Spc24 [Homo sapiens]	3	0.0016	0.5954
MEPCE	gi|32698866|gn|SPC24:147841| kinetochore protein Spc24 [Homo sapiens]	3	0.0065	0.5378
EIF4A2	gi|330864679|gn|CAPZB:832| F-actin-capping protein subunit beta isoform 2 [Homo sapiens]	3	0.0008	0.6130
MEPCE	gi|330864679|gn|CAPZB:832| F-actin-capping protein subunit beta isoform 2 [Homo sapiens]	3	0.0039	0.5623
EIF4A2	gi|33188454|gn|PRDX2:7001| peroxiredoxin-2 isoform c [Homo sapiens]	3	0.0002	0.6436
MEPCE	gi|33188454|gn|PRDX2:7001| peroxiredoxin-2 isoform c [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|332205939|gn|RAB11A:8766| ras-related protein Rab-11A isoform 2 [Homo sapiens]	3	0.0016	0.5954
MEPCE	gi|332205939|gn|RAB11A:8766| ras-related protein Rab-11A isoform 2 [Homo sapiens]	3	0.3335	0.2281
EIF4A2	gi|332634711|gn|ALDH1A2:8854| retinal dehydrogenase 2 isoform 4 [Homo sapiens]	3	0.1954	0.3047
MEPCE	gi|332634711|gn|ALDH1A2:8854| retinal dehydrogenase 2 isoform 4 [Homo sapiens]	3	0.0161	0.4945
EIF4A2	gi|332801071|gn|PPP2R2C:5522| protein phosphatase 2, regulatory subunit B, gamma isoform c [Homo sapiens]	3	0.0025	0.5793
MEPCE	gi|332801071|gn|PPP2R2C:5522| protein phosphatase 2, regulatory subunit B, gamma isoform c [Homo sapiens]	3	0.0083	0.5237
EIF4A2	gi|332801090|gn|HNRPDL:9987| heterogeneous nuclear ribonucleoprotein D-like isoform b [Homo sapiens]	3	0.9998	0.0000
MEPCE	gi|332801090|gn|HNRPDL:9987| heterogeneous nuclear ribonucleoprotein D-like isoform b [Homo sapiens]	3	0.0186	0.4894
EIF4A2	gi|33286418|gn|PKM2:5315| pyruvate kinase isozymes M1/M2 isoform a [Homo sapiens]	3	0.0036	0.5644
MEPCE	gi|33286418|gn|PKM2:5315| pyruvate kinase isozymes M1/M2 isoform a [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|333440451|gn|CLASP2:23122| CLIP-associating protein 2 isoform 2 [Homo sapiens]	3	0.0004	0.6277
MEPCE	gi|333440451|gn|CLASP2:23122| CLIP-associating protein 2 isoform 2 [Homo sapiens]	3	0.0001	0.6563
EIF4A2	gi|33350932|gn|DYNC1H1:1778| cytoplasmic dynein 1 heavy chain 1 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|33350932|gn|DYNC1H1:1778| cytoplasmic dynein 1 heavy chain 1 [Homo sapiens]	3	0.0001	0.6563
EIF4A2	gi|33356174|gn|PNN:5411| pinin [Homo sapiens]	3	0.2292	0.2823
MEPCE	gi|33356174|gn|PNN:5411| pinin [Homo sapiens]	3	0.1148	0.3617
EIF4A2	gi|33356547|gn|MCM2:4171| DNA replication licensing factor MCM2 [Homo sapiens]	3	0.0003	0.6339
MEPCE	gi|33356547|gn|MCM2:4171| DNA replication licensing factor MCM2 [Homo sapiens]	3	0.0001	0.6563
EIF4A2	gi|33386693|gn|PAIP1:10605| polyadenylate-binding protein-interacting protein 1 isoform 2 [Homo sapiens]	3	0.9771	0.0011
MEPCE	gi|33386693|gn|PAIP1:10605| polyadenylate-binding protein-interacting protein 1 isoform 2 [Homo sapiens]	3	0.1624	0.3234
EIF4A2	gi|334191701|gn|PFKP:5214| 6-phosphofructokinase type C isoform 2 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|334191701|gn|PFKP:5214| 6-phosphofructokinase type C isoform 2 [Homo sapiens]	3	0.0003	0.6339
EIF4A2	gi|334688844|gn|GFAP:2670| glial fibrillary acidic protein isoform 3 [Homo sapiens]	3	0.9983	0.0001
MEPCE	gi|334688844|gn|GFAP:2670| glial fibrillary acidic protein isoform 3 [Homo sapiens]	3	0.0119	0.5098
EIF4A2	gi|33469919|gn|MCM4:4173| DNA replication licensing factor MCM4 [Homo sapiens]	3	0.0001	0.6563
MEPCE	gi|33469919|gn|MCM4:4173| DNA replication licensing factor MCM4 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|33469968|gn|MCM7:4176| DNA replication licensing factor MCM7 isoform 1 [Homo sapiens]	3	0.0009	0.6114
MEPCE	gi|33469968|gn|MCM7:4176| DNA replication licensing factor MCM7 isoform 1 [Homo sapiens]	3	0.0003	0.6339
EIF4A2	gi|334724463|gn|TWF1:5756| twinfilin-1 isoform 2 [Homo sapiens]	3	0.0456	0.4388
MEPCE	gi|334724463|gn|TWF1:5756| twinfilin-1 isoform 2 [Homo sapiens]	3	0.0035	0.5661
EIF4A2	gi|33589861|gn|RAB31:11031| ras-related protein Rab-31 [Homo sapiens]	3	0.0020	0.5868
MEPCE	gi|33589861|gn|RAB31:11031| ras-related protein Rab-31 [Homo sapiens]	3	0.0027	0.5758
EIF4A2	gi|336176064|gn|RBM39:9584| RNA-binding protein 39 isoform c [Homo sapiens]	3	0.0001	0.6563
MEPCE	gi|336176064|gn|RBM39:9584| RNA-binding protein 39 isoform c [Homo sapiens]	3	0.0001	0.6563
EIF4A2	gi|33636719|gn|TIMM44:10469| mitochondrial import inner membrane translocase subunit TIM44 [Homo sapiens]	3	0.1014	0.3759
MEPCE	gi|33636719|gn|TIMM44:10469| mitochondrial import inner membrane translocase subunit TIM44 [Homo sapiens]	3	0.0020	0.5868
EIF4A2	gi|337756507|gn|MTHFD1L:25902| monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform 3 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|337756507|gn|MTHFD1L:25902| monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform 3 [Homo sapiens]	3	0.0027	0.5758
EIF4A2	gi|338753429|gn|NUP93:9688| nuclear pore complex protein Nup93 isoform 2 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|338753429|gn|NUP93:9688| nuclear pore complex protein Nup93 isoform 2 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|338797808|gn|FDPS:2224| farnesyl pyrophosphate synthase isoform b [Homo sapiens]	3	0.5535	0.1155
MEPCE	gi|338797808|gn|FDPS:2224| farnesyl pyrophosphate synthase isoform b [Homo sapiens]	3	0.3906	0.1667
EIF4A2	gi|338858017|gn|LOC100293534:100293534| complement C4-B-like preproprotein [Homo sapiens]	3	0.0008	0.6130
MEPCE	gi|338858017|gn|LOC100293534:100293534| complement C4-B-like preproprotein [Homo sapiens]	3	0.0001	0.6563
EIF4A2	gi|338968932|gn|CSDE1:7812| cold shock domain-containing protein E1 isoform 1 [Homo sapiens]	3	0.9900	0.0004
MEPCE	gi|338968932|gn|CSDE1:7812| cold shock domain-containing protein E1 isoform 1 [Homo sapiens]	3	0.6239	0.0925
EIF4A2	gi|339275831|gn|EIF3L:51386| eukaryotic translation initiation factor 3 subunit L isoform 2 [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|339275831|gn|EIF3L:51386| eukaryotic translation initiation factor 3 subunit L isoform 2 [Homo sapiens]	3	0.0892	0.3852
EIF4A2	gi|339275993|gn|ASCC2:84164| activating signal cointegrator 1 complex subunit 2 isoform 2 [Homo sapiens]	3	0.3875	0.1688
MEPCE	gi|339275993|gn|ASCC2:84164| activating signal cointegrator 1 complex subunit 2 isoform 2 [Homo sapiens]	3	0.0643	0.4111
EIF4A2	gi|339409190|gn|SNX1:6642| sorting nexin-1 isoform d [Homo sapiens]	3	0.4399	0.1471
MEPCE	gi|339409190|gn|SNX1:6642| sorting nexin-1 isoform d [Homo sapiens]	3	0.0571	0.4207
EIF4A2	gi|33946297|gn|ZNF326:284695| DBIRD complex subunit ZNF326 isoform 1 [Homo sapiens]	3	0.6667	0.0650
MEPCE	gi|33946297|gn|ZNF326:284695| DBIRD complex subunit ZNF326 isoform 1 [Homo sapiens]	3	0.9959	0.0002
EIF4A2	gi|33946327|gn|NUP214:8021| nuclear pore complex protein Nup214 [Homo sapiens]	3	0.1969	0.3036
MEPCE	gi|33946327|gn|NUP214:8021| nuclear pore complex protein Nup214 [Homo sapiens]	3	0.1040	0.3738
EIF4A2	gi|339639597|gn|SEPT7:989| septin-7 isoform 3 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|339639597|gn|SEPT7:989| septin-7 isoform 3 [Homo sapiens]	3	0.3262	0.2396
EIF4A2	gi|34098946|gn|YBX1:4904| nuclease-sensitive element-binding protein 1 [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|34098946|gn|YBX1:4904| nuclease-sensitive element-binding protein 1 [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|34147513|gn|RAB7A:7879| ras-related protein Rab-7a [Homo sapiens]	3	0.0132	0.5028
MEPCE	gi|34147513|gn|RAB7A:7879| ras-related protein Rab-7a [Homo sapiens]	3	0.0001	0.6563
EIF4A2	gi|34147630|gn|TUFM:7284| elongation factor Tu, mitochondrial precursor [Homo sapiens]	3	0.0011	0.6067
MEPCE	gi|34147630|gn|TUFM:7284| elongation factor Tu, mitochondrial precursor [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|34147637|gn|COPS6:10980| COP9 signalosome complex subunit 6 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|34147637|gn|COPS6:10980| COP9 signalosome complex subunit 6 [Homo sapiens]	3	0.0482	0.4342
EIF4A2	gi|341604768|gn|RPL13:6137| 60S ribosomal protein L13 isoform 2 [Homo sapiens]	3	0.3260	0.2402
MEPCE	gi|341604768|gn|RPL13:6137| 60S ribosomal protein L13 isoform 2 [Homo sapiens]	3	0.9973	0.0001
EIF4A2	gi|341604770|gn|RPL13:6137| 60S ribosomal protein L13 isoform 3 [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|341604770|gn|RPL13:6137| 60S ribosomal protein L13 isoform 3 [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|342187211|gn|ALDOA:226| fructose-bisphosphate aldolase A isoform 2 [Homo sapiens]	3	0.6678	0.0598
MEPCE	gi|342187211|gn|ALDOA:226| fructose-bisphosphate aldolase A isoform 2 [Homo sapiens]	3	0.0003	0.6339
EIF4A2	gi|342349354|gn|RANBP6:26953| ran-binding protein 6 isoform 2 [Homo sapiens]	3	0.2374	0.2800
MEPCE	gi|342349354|gn|RANBP6:26953| ran-binding protein 6 isoform 2 [Homo sapiens]	3	0.0310	0.4600
EIF4A2	gi|342672030|gn|PRSS3:5646| trypsin-3 isoform 3 preproprotein [Homo sapiens]	3	0.0016	0.5954
MEPCE	gi|342672030|gn|PRSS3:5646| trypsin-3 isoform 3 preproprotein [Homo sapiens]	3	0.0006	0.6194
EIF4A2	gi|343887347|gn|CD2BP2:10421| CD2 antigen cytoplasmic tail-binding protein 2 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|343887347|gn|CD2BP2:10421| CD2 antigen cytoplasmic tail-binding protein 2 [Homo sapiens]	3	0.0294	0.4634
EIF4A2	gi|344217752|gn|API5:8539| apoptosis inhibitor 5 isoform d [Homo sapiens]	3	0.4960	0.1281
MEPCE	gi|344217752|gn|API5:8539| apoptosis inhibitor 5 isoform d [Homo sapiens]	3	0.6006	0.1038
EIF4A2	gi|34485722|gn|KPNA3:3839| importin subunit alpha-3 [Homo sapiens]	3	0.1347	0.3450
MEPCE	gi|34485722|gn|KPNA3:3839| importin subunit alpha-3 [Homo sapiens]	3	0.7183	0.0280
EIF4A2	gi|345197228|gn|TRA2B:6434| transformer-2 protein homolog beta isoform 2 [Homo sapiens]	3	0.8936	0.0061
MEPCE	gi|345197228|gn|TRA2B:6434| transformer-2 protein homolog beta isoform 2 [Homo sapiens]	3	0.0860	0.3887
EIF4A2	gi|345199283|gn|HDLBP:3069| vigilin isoform b [Homo sapiens]	3	0.0059	0.5436
MEPCE	gi|345199283|gn|HDLBP:3069| vigilin isoform b [Homo sapiens]	3	0.1408	0.3407
EIF4A2	gi|345441817|gn|KIF2A:3796| kinesin-like protein KIF2A isoform 3 [Homo sapiens]	3	0.1612	0.3240
MEPCE	gi|345441817|gn|KIF2A:3796| kinesin-like protein KIF2A isoform 3 [Homo sapiens]	3	0.2023	0.3008
EIF4A2	gi|345478663|gn|PRPSAP2:5636| phosphoribosyl pyrophosphate synthase-associated protein 2 isoform 4 [Homo sapiens]	3	0.0001	0.6563
MEPCE	gi|345478663|gn|PRPSAP2:5636| phosphoribosyl pyrophosphate synthase-associated protein 2 isoform 4 [Homo sapiens]	3	0.1605	0.3251
EIF4A2	gi|345478668|gn|PRPSAP2:5636| phosphoribosyl pyrophosphate synthase-associated protein 2 isoform 3 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|345478668|gn|PRPSAP2:5636| phosphoribosyl pyrophosphate synthase-associated protein 2 isoform 3 [Homo sapiens]	3	0.0704	0.4028
EIF4A2	gi|34577063|gn|ADSS:159| adenylosuccinate synthetase isozyme 2 [Homo sapiens]	3	0.0121	0.5080
MEPCE	gi|34577063|gn|ADSS:159| adenylosuccinate synthetase isozyme 2 [Homo sapiens]	3	0.0054	0.5487
EIF4A2	gi|346644849|gn|APEX1:328| DNA-(apurinic or apyrimidinic site) lyase [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|346644849|gn|APEX1:328| DNA-(apurinic or apyrimidinic site) lyase [Homo sapiens]	3	0.3309	0.2345
EIF4A2	gi|34740329|gn|HNRNPA3:220988| heterogeneous nuclear ribonucleoprotein A3 [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|34740329|gn|HNRNPA3:220988| heterogeneous nuclear ribonucleoprotein A3 [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|347800662|gn|RAD23B:5887| UV excision repair protein RAD23 homolog B isoform 2 [Homo sapiens]	3	0.0350	0.4526
MEPCE	gi|347800662|gn|RAD23B:5887| UV excision repair protein RAD23 homolog B isoform 2 [Homo sapiens]	3	0.3001	0.2515
EIF4A2	gi|348041379|gn|MOB1B:92597| MOB kinase activator 1B isoform 1 [Homo sapiens]	3	0.0001	0.6563
MEPCE	gi|348041379|gn|MOB1B:92597| MOB kinase activator 1B isoform 1 [Homo sapiens]	3	0.0001	0.6563
EIF4A2	gi|348041385|gn|MOB1B:92597| MOB kinase activator 1B isoform 3 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|348041385|gn|MOB1B:92597| MOB kinase activator 1B isoform 3 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|349585158|gn|DLST:1743| dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial isoform 2 precursor [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|349585158|gn|DLST:1743| dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial isoform 2 precursor [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|349732206|gn|PRPF4:9128| U4/U6 small nuclear ribonucleoprotein Prp4 isoform 2 [Homo sapiens]	3	0.0022	0.5834
MEPCE	gi|349732206|gn|PRPF4:9128| U4/U6 small nuclear ribonucleoprotein Prp4 isoform 2 [Homo sapiens]	3	0.3474	0.1950
EIF4A2	gi|349732256|gn|TXN:7295| thioredoxin isoform 2 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|349732256|gn|TXN:7295| thioredoxin isoform 2 [Homo sapiens]	3	0.0010	0.6095
EIF4A2	gi|34996527|gn|RPS19BP1:91582| active regulator of SIRT1 [Homo sapiens]	3	0.0039	0.5623
MEPCE	gi|34996527|gn|RPS19BP1:91582| active regulator of SIRT1 [Homo sapiens]	3	0.6670	0.0633
EIF4A2	gi|350276247|gn|PPP1CC:5501| serine/threonine-protein phosphatase PP1-gamma catalytic subunit isoform 2 [Homo sapiens]	3	0.3204	0.2436
MEPCE	gi|350276247|gn|PPP1CC:5501| serine/threonine-protein phosphatase PP1-gamma catalytic subunit isoform 2 [Homo sapiens]	3	0.2788	0.2617
EIF4A2	gi|350529366|gn|PPP1R12A:4659| protein phosphatase 1 regulatory subunit 12A isoform c [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|350529366|gn|PPP1R12A:4659| protein phosphatase 1 regulatory subunit 12A isoform c [Homo sapiens]	3	0.0018	0.5918
EIF4A2	gi|351721296|gn|SET:6418| protein SET isoform 3 [Homo sapiens]	3	0.9998	0.0000
MEPCE	gi|351721296|gn|SET:6418| protein SET isoform 3 [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|354681995|gn|SPAG9:9043| C-Jun-amino-terminal kinase-interacting protein 4 isoform 4 [Homo sapiens]	3	0.0002	0.6436
MEPCE	gi|354681995|gn|SPAG9:9043| C-Jun-amino-terminal kinase-interacting protein 4 isoform 4 [Homo sapiens]	3	0.3326	0.2322
EIF4A2	gi|354725902|gn|RAB5B:5869| ras-related protein Rab-5B isoform 1 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|354725902|gn|RAB5B:5869| ras-related protein Rab-5B isoform 1 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|355330276|gn|USP15:9958| ubiquitin carboxyl-terminal hydrolase 15 isoform 1 [Homo sapiens]	3	0.0499	0.4315
MEPCE	gi|355330276|gn|USP15:9958| ubiquitin carboxyl-terminal hydrolase 15 isoform 1 [Homo sapiens]	3	0.3936	0.1647
EIF4A2	gi|355330279|gn|USP15:9958| ubiquitin carboxyl-terminal hydrolase 15 isoform 3 [Homo sapiens]	3	0.3143	0.2464
MEPCE	gi|355330279|gn|USP15:9958| ubiquitin carboxyl-terminal hydrolase 15 isoform 3 [Homo sapiens]	3	0.9987	0.0001
EIF4A2	gi|355477275|gn|LSM4:25804| U6 snRNA-associated Sm-like protein LSm4 isoform 2 [Homo sapiens]	3	0.0018	0.5918
MEPCE	gi|355477275|gn|LSM4:25804| U6 snRNA-associated Sm-like protein LSm4 isoform 2 [Homo sapiens]	3	0.9999	0.0000
EIF4A2	gi|357933604|gn|ZNF638:27332| zinc finger protein 638 isoform 2 [Homo sapiens]	3	0.3857	0.1694
MEPCE	gi|357933604|gn|ZNF638:27332| zinc finger protein 638 isoform 2 [Homo sapiens]	3	0.4378	0.1477
EIF4A2	gi|358356402|gn|RPL15:6138| 60S ribosomal protein L15 isoform 1 [Homo sapiens]	3	0.6245	0.0920
MEPCE	gi|358356402|gn|RPL15:6138| 60S ribosomal protein L15 isoform 1 [Homo sapiens]	3	0.9964	0.0002
EIF4A2	gi|358438328|gn|ISYNA1:51477| inositol-3-phosphate synthase 1 isoform 4 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|358438328|gn|ISYNA1:51477| inositol-3-phosphate synthase 1 isoform 4 [Homo sapiens]	3	0.0002	0.6436
EIF4A2	gi|359338991|gn|SYNCRIP:10492| heterogeneous nuclear ribonucleoprotein Q isoform 7 [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|359338991|gn|SYNCRIP:10492| heterogeneous nuclear ribonucleoprotein Q isoform 7 [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|365192532|gn|MYH10:4628| myosin-10 isoform 1 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|365192532|gn|MYH10:4628| myosin-10 isoform 1 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|371121601|gn|NAA10:8260| N-alpha-acetyltransferase 10 isoform 2 [Homo sapiens]	3	0.0001	0.6563
MEPCE	gi|371121601|gn|NAA10:8260| N-alpha-acetyltransferase 10 isoform 2 [Homo sapiens]	3	0.0009	0.6114
EIF4A2	gi|371502112|gn|CSE1L:1434| exportin-2 isoform 2 [Homo sapiens]	3	0.0003	0.6339
MEPCE	gi|371502112|gn|CSE1L:1434| exportin-2 isoform 2 [Homo sapiens]	3	0.0001	0.6563
EIF4A2	gi|371940938|gn|ATP1A3:478| sodium/potassium-transporting ATPase subunit alpha-3 isoform 2 [Homo sapiens]	3	0.0001	0.6563
MEPCE	gi|371940938|gn|ATP1A3:478| sodium/potassium-transporting ATPase subunit alpha-3 isoform 2 [Homo sapiens]	3	0.0049	0.5552
EIF4A2	gi|372266180|gn|NARR:100861437| ras-related protein Rab-34, isoform NARR [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|372266180|gn|NARR:100861437| ras-related protein Rab-34, isoform NARR [Homo sapiens]	3	0.0757	0.3983
EIF4A2	gi|374671789|gn|SSBP1:6742| single-stranded DNA-binding protein, mitochondrial precursor [Homo sapiens]	3	0.0560	0.4226
MEPCE	gi|374671789|gn|SSBP1:6742| single-stranded DNA-binding protein, mitochondrial precursor [Homo sapiens]	3	0.9765	0.0013
EIF4A2	gi|374858040|gn|PRMT8:56341| protein arginine N-methyltransferase 8 isoform 2 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|374858040|gn|PRMT8:56341| protein arginine N-methyltransferase 8 isoform 2 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|375151590|gn|RPL10:6134| 60S ribosomal protein L10 isoform b [Homo sapiens]	3	0.6181	0.0952
MEPCE	gi|375151590|gn|RPL10:6134| 60S ribosomal protein L10 isoform b [Homo sapiens]	3	0.9385	0.0034
EIF4A2	gi|375151597|gn|RPL10:6134| 60S ribosomal protein L10 isoform c [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|375151597|gn|RPL10:6134| 60S ribosomal protein L10 isoform c [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|375477430|gn|CCT4:10575| T-complex protein 1 subunit delta isoform b [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|375477430|gn|CCT4:10575| T-complex protein 1 subunit delta isoform b [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|375493534|gn|CSNK2A1P:283106| casein kinase 2, alpha 1 polypeptide-like [Homo sapiens]	3	0.9971	0.0001
MEPCE	gi|375493534|gn|CSNK2A1P:283106| casein kinase 2, alpha 1 polypeptide-like [Homo sapiens]	3	0.0212	0.4827
EIF4A2	gi|37595752|gn|LBR:3930| lamin-B receptor [Homo sapiens]	3	0.0079	0.5271
MEPCE	gi|37595752|gn|LBR:3930| lamin-B receptor [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|378548190|gn|RPS3:6188| 40S ribosomal protein S3 isoform 1 [Homo sapiens]	3	0.8447	0.0109
MEPCE	gi|378548190|gn|RPS3:6188| 40S ribosomal protein S3 isoform 1 [Homo sapiens]	3	0.6947	0.0359
EIF4A2	gi|379317177|gn|DDX21:9188| nucleolar RNA helicase 2 isoform 2 [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|379317177|gn|DDX21:9188| nucleolar RNA helicase 2 isoform 2 [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|38027923|gn|COPS5:10987| COP9 signalosome complex subunit 5 [Homo sapiens]	3	0.1075	0.3702
MEPCE	gi|38027923|gn|COPS5:10987| COP9 signalosome complex subunit 5 [Homo sapiens]	3	0.8230	0.0125
EIF4A2	gi|38045896|gn|ERC1:23085| ELKS/Rab6-interacting/CAST family member 1 isoform delta [Homo sapiens]	3	0.0188	0.4879
MEPCE	gi|38045896|gn|ERC1:23085| ELKS/Rab6-interacting/CAST family member 1 isoform delta [Homo sapiens]	3	0.0001	0.6563
EIF4A2	gi|380503835|gn|DDX19B:11269| ATP-dependent RNA helicase DDX19B isoform 4 [Homo sapiens]	3	0.0052	0.5515
MEPCE	gi|380503835|gn|DDX19B:11269| ATP-dependent RNA helicase DDX19B isoform 4 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|380692328|gn|DDX56:54606| probable ATP-dependent RNA helicase DDX56 isoform 2 [Homo sapiens]	3	0.2970	0.2543
MEPCE	gi|380692328|gn|DDX56:54606| probable ATP-dependent RNA helicase DDX56 isoform 2 [Homo sapiens]	3	0.8557	0.0095
EIF4A2	gi|380692342|gn|DDX6:1656| probable ATP-dependent RNA helicase DDX6 [Homo sapiens]	3	0.9999	0.0000
MEPCE	gi|380692342|gn|DDX6:1656| probable ATP-dependent RNA helicase DDX6 [Homo sapiens]	3	0.0059	0.5436
EIF4A2	gi|381342476|gn|HNRNPH1:3187| heterogeneous nuclear ribonucleoprotein H [Homo sapiens]	3	0.6319	0.0899
MEPCE	gi|381342476|gn|HNRNPH1:3187| heterogeneous nuclear ribonucleoprotein H [Homo sapiens]	3	0.3616	0.1823
EIF4A2	gi|38146107|gn|RSRC2:65117| arginine/serine-rich coiled-coil protein 2 [Homo sapiens]	3	0.0001	0.6563
MEPCE	gi|38146107|gn|RSRC2:65117| arginine/serine-rich coiled-coil protein 2 [Homo sapiens]	3	0.0126	0.5051
EIF4A2	gi|38201714|gn|ELAVL1:1994| ELAV-like protein 1 [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|38201714|gn|ELAVL1:1994| ELAV-like protein 1 [Homo sapiens]	3	0.4566	0.1391
EIF4A2	gi|38202257|gn|GANAB:23193| neutral alpha-glucosidase AB isoform 2 precursor [Homo sapiens]	3	0.2375	0.2794
MEPCE	gi|38202257|gn|GANAB:23193| neutral alpha-glucosidase AB isoform 2 precursor [Homo sapiens]	3	0.1785	0.3149
